ftp_data,0,491,0,0,0,0,0,0,0,150,25,0.17,0
other,0,146,0,0,0,0,0,0,0.15,255,1,0.88,0
private,0,0,0,0,0,0,0,0,0.07,255,26,0,1
http,0,232,8153,0,0,0,0,0,0,30,255,0.03,0
http,0,199,420,0,0,0,0,0,0,255,255,0,0
private,0,0,0,0,0,0,0,1,0.06,255,19,0,1
private,0,0,0,0,0,0,0,0,0.06,255,9,0,1
private,0,0,0,0,0,0,0,0,0.06,255,15,0,1
remote_job,0,0,0,0,0,0,0,0,0.05,255,23,0,1
private,0,0,0,0,0,0,0,0,0.06,255,13,0,1
private,0,0,0,0,0,0,0,1,0.06,255,12,0,1
private,0,0,0,0,0,0,0,0,0.06,255,13,0,1
http,0,287,2251,0,0,0,0,0,0,8,219,0.12,0
ftp_data,0,334,0,0,0,0,0,0,0,2,20,1,1
name,0,0,0,0,0,0,0,0,0.06,255,1,0,1
netbios_ns,0,0,0,0,0,0,0,0,0.05,255,2,0,1
http,0,300,13788,0,0,0,0,0,0,91,255,0.01,0
eco_i,0,18,0,0,0,0,0,0,0,1,16,1,1
http,0,233,616,0,0,0,0,0,0,66,255,0.02,0
http,0,343,1178,0,0,0,0,0,0,157,255,0.01,0
mtp,0,0,0,0,0,0,0,0,0.05,255,23,0,1
private,0,0,0,0,0,0,0,0,0.05,238,17,0,1
http,0,253,11905,0,0,0,0,0,0,87,255,0.01,0
other,5607,147,105,0,0,0,0,0,0,255,1,1,0
mtp,0,0,0,0,0,0,0,0,0.06,255,2,0,1
telnet,507,437,14421,0,3,0,0,0,0,255,25,0,0
private,0,0,0,0,0,0,0,0,0.06,255,13,0,1
http,0,227,6588,0,0,0,0,0,0,43,255,0.02,0
http,0,215,10499,0,0,0,0,0,0,255,255,0,0
http,0,241,1400,0,0,0,0,0.03,0,255,255,0,0
eco_i,0,8,0,0,0,0,0,0,0,1,53,1,1
finger,0,0,0,0,0,0,0,0,0.07,255,59,0.01,1
http,0,303,555,0,0,0,0,0,0,9,255,0.11,0
private,0,0,0,0,0,0,0,1,1,255,1,0.28,1
domain_u,0,45,45,0,0,0,0,0,0,255,250,0,0
private,1,105,147,0,0,0,0,0,0,41,5,0.05,0
domain_u,0,43,43,0,0,0,0,0,0,255,255,0.01,0
supdup,0,0,0,0,0,0,0,0,0.06,255,17,0,1
http,0,324,2302,0,0,0,0,0,0,255,255,0,0
uucp_path,0,0,0,0,0,0,0,0,0.07,255,13,0,1
ftp_data,0,0,0,0,0,0,0,0,0.08,255,63,0.01,1
Z39_50,0,0,0,0,0,0,0,0,0.06,255,9,0,1
smtp,2,1591,372,0,0,0,0,0,0,181,147,0.01,0
other,9052,146,105,0,0,0,0,0,0.5,255,2,0.99,0
http,0,290,3006,0,0,0,0,0,0,255,255,0,0
csnet_ns,0,0,0,0,0,0,0,0,0.08,255,11,0,1
private,0,28,0,0,0,0,0,0,0,255,80,0.31,1
http,0,255,861,0,0,0,0,0,0,255,255,0,0
ftp_data,0,334,0,0,0,0,0,0,0,4,38,1,1
ftp_data,0,0,0,0,0,0,0,0,0.05,255,5,0,1
http,0,302,498,0,0,0,0,0,0,131,255,0.01,0
private,0,0,0,0,0,0,0,1,0.1,255,4,0,1
private,0,28,0,0,0,0,0,0,0,255,2,0.01,1
http,0,220,1398,0,0,0,0,0,0,26,255,0.04,0
domain_u,0,43,69,0,0,0,0,0,0,255,245,0.01,0
domain_u,0,44,133,0,0,0,0,0,0,122,212,0.88,0
eco_i,0,8,0,0,0,0,0,0,0,2,46,1,1
uucp,0,0,0,0,0,0,0,0,0.06,255,11,0,1
finger,0,0,0,0,0,0,0,0,0.08,255,59,0,1
domain_u,0,43,43,0,0,0,0,0,0,255,255,0.01,0
ftp_data,0,641,0,0,0,0,0,0,0,175,48,0.25,0
private,0,0,0,0,0,0,0,1,0.06,255,4,0,1
private,0,0,0,0,0,0,0,0.89,1,255,1,0,1
http,0,310,2794,0,0,0,0,0,0,255,255,0,0
private,0,0,0,0,0,0,0,1,0.08,255,10,0,1
smtp,0,696,333,0,0,0,0,0,0,109,133,0.01,0
netbios_dgm,0,0,0,0,0,0,0,1,0,236,1,0.58,1
http,0,0,0,0,0,0,0,0,0.08,255,67,0,1
netbios_dgm,0,0,0,0,0,0,0,1,0.06,255,6,0,1
supdup,0,0,0,0,0,0,0,0,0.06,255,21,0,1
http,0,221,2878,0,0,0,0,0,0,21,58,0.05,0
private,0,0,0,0,0,0,0,0,0.06,255,31,0,1
urp_i,0,181,0,0,0,0,0,0,0.67,255,93,0.46,0
domain_u,0,42,42,0,0,0,0,0,0,84,83,0.01,0
private,0,0,0,0,0,0,0,0,0.06,255,6,0,1
ftp_data,0,12,0,0,0,0,0,0,0,44,47,0.55,0
auth,0,0,0,0,0,0,0,0,0.06,255,9,0,1
http,0,210,2790,0,0,0,0,0,0,48,255,0.02,0
http,0,321,5683,0,0,0,0,0,0,168,255,0.01,0
private,0,0,0,0,0,0,0,1,0.06,255,8,0,1
http,0,329,3982,0,0,0,0,0,0,24,255,0.04,0
uucp_path,0,0,0,0,0,0,0,1,0.07,255,7,0,1
domain,0,0,0,0,0,0,0,0,0.05,255,2,0,1
eco_i,0,8,0,0,0,0,0,0,0,1,95,1,1
http,0,320,379,0,0,0,0,0,0,123,255,0.01,0
private,0,0,0,0,0,0,0,0,0.05,72,7,0.01,1
http,0,225,3762,0,0,0,0,0,0,255,255,0,0
ftp,0,0,0,0,0,0,0,0,0.06,255,1,0,1
private,0,0,0,0,0,0,0,1,0.05,255,15,0,1
other,315,146,105,0,0,0,0,0,0.67,117,2,0.78,0
http,0,247,1416,0,0,0,0,0,0,156,255,0.01,0
http,0,353,1483,0,0,0,0,0,0,255,255,0,0
domain_u,0,44,44,0,0,0,0,0,0.02,255,254,0.01,0
private,0,0,0,0,0,0,0,1,0.05,255,10,0,1
csnet_ns,0,0,0,0,0,0,0,0,0.06,255,3,0,1
smtp,2,3065,331,0,0,0,0,0,0,243,119,0,0
other,0,102,102,0,0,0,0,0,0,7,1,0.14,0
http,0,259,750,0,0,0,0,0,0,4,255,0.25,0
other,1082,147,105,0,0,0,0,0,0,255,2,0.86,0
private,0,0,0,0,0,0,0,0,0.05,255,12,0,1
http,0,0,354,0,0,0,0,0,0,255,255,0,0
http,0,309,306,0,0,0,0,0,0,66,255,0.02,0
http,0,0,0,0,0,0,0,1,0,1,247,1,0
http,0,278,7227,0,0,0,0,0,0,153,255,0.01,0
private,0,28,0,0,0,0,0,0,0,255,182,0.71,1
http,0,313,761,0,0,0,0,0,0,43,255,0.02,0
http,0,219,1212,0,0,0,0,0,0,242,255,0,0
http,0,245,9165,0,0,0,0,0,0,10,255,0.1,0
http,0,328,2243,0,0,0,0,0,0,21,255,0.05,0
http,0,0,0,0,0,0,0,1,0,23,249,0.04,0
http,0,251,301,0,0,0,0,0,0,255,252,0,0
smtp,0,2089,335,0,0,0,0,0,1,255,152,0,0
http,0,0,0,0,0,0,0,1,0,6,255,0.17,0
http,0,237,511,0,0,0,0,0,0,3,255,0.33,0
http,0,324,431,0,0,0,0,0,0,107,255,0.01,0
private,25950,1,0,0,0,0,0,1,0,255,2,1,1
Z39_50,0,0,0,0,0,0,0,1,0.05,255,17,0,1
private,0,105,145,0,0,0,0,0,0.5,255,239,0,0
http,0,218,974,0,0,0,0,0,0,6,255,0.17,0
http,0,325,2649,0,0,0,0,0,0,107,255,0.01,0
uucp_path,0,0,0,0,0,0,0,1,0.07,255,20,0,1
bgp,0,0,0,0,0,0,0,1,0.07,255,19,0,1
csnet_ns,0,0,0,0,0,0,0,0,0.07,255,8,0,1
http,240,328,275,0,0,0,0,0,0,255,250,0,0
bgp,0,0,0,0,0,0,0,0,0.05,255,8,0,1
finger,0,9,138,0,0,0,0,0,0,195,10,0.01,0
domain_u,0,46,46,0,0,0,0,0,0,255,254,0.01,0
smtp,1,1079,334,0,0,0,1,0,0,138,167,0.01,0
domain_u,0,45,139,0,0,0,0,0,0,255,254,0,0
ftp,26,273,903,5,0,0,0,0,0,176,49,0.01,0
private,0,0,0,0,0,0,0,0,0.06,255,20,0,1
ldap,0,0,0,0,0,0,0,1,0.06,255,1,0,1
http,0,237,138,0,0,0,0,0,0,2,2,0.5,0
http,0,225,1357,0,0,0,0,0,0,5,255,0.2,0
private,0,0,0,0,0,0,0,0,0.06,255,7,0,1
supdup,0,0,0,0,0,0,0,0,0.06,255,7,0,1
other,0,147,0,0,0,0,0,0,0.67,255,1,0.97,0
http,0,262,1011,0,0,0,0,0,0,94,255,0.02,0
ecr_i,0,1032,0,0,0,0,0,0,0,255,255,1,1
private,0,0,0,0,0,0,0,0,0.06,255,7,0,1
http,0,261,8412,0,0,0,0,0,0,255,255,0,0
bgp,0,0,0,0,0,0,0,1,0.08,255,8,0,1
netbios_dgm,0,0,0,0,0,0,0,1,0.07,255,2,0,1
http,0,294,1719,0,0,0,0,0,0,108,255,0.01,0
http,0,221,981,0,0,0,0,0,0,50,82,0.02,0
http,0,284,10352,0,0,0,0,0,0,11,255,0.09,0
gopher,0,0,0,0,0,0,0,0,0,255,1,1,1
http,0,309,16096,0,0,0,0,0,0,31,129,0.03,0
ftp_data,0,334,0,0,0,0,0,0,0,6,26,1,1
telnet,0,0,0,0,0,0,0,0,0.31,255,64,0.01,1
private,0,0,0,0,0,0,0,0,0.07,255,1,0,1
http,0,214,283,0,0,0,0,0,0,27,255,0.04,0
vmnet,0,0,0,0,0,0,0,0,0.05,255,14,0,1
systat,0,0,0,0,0,0,0,0,0.05,255,1,0,1
http_443,0,0,0,0,0,0,0,0,0.06,255,15,0,1
domain_u,0,46,78,0,0,0,0,0,0.01,255,254,0,0
ftp_data,0,748,0,0,0,9,0,0,0,6,92,0.83,0
efs,0,0,0,0,0,0,0,0,0.06,255,18,0,1
eco_i,0,8,0,0,0,0,0,0,0,1,15,1,1
whois,0,0,0,0,0,0,0,0,0.07,255,3,0,1
http,0,329,8437,0,0,0,0,0,0,83,255,0.01,0
